基金代码,   基金名称, 基金简称,        日期,	单位净值,	累计净值,	日增长率,	近1周,	近1月,	近3月,	近6月,	近1年,	近2年,	近3年,	今年来,	成立来,自定义
162719,广发道琼斯石油指数人民币A,GFDQSSYZSRMBA,2022-04-12,1.7709,1.7709,1.68,0.85,9.16,21.06,32.65,76.88,187.48,74.68,37.91,77.09,2017-02-28,1,73.9612,1.20%,0.12%,1,0.12%,1,77.07
004243,广发道琼斯石油指数人民币C,GFDQSSYZSRMBC,2022-04-12,1.7651,1.7651,1.68,0.82,9.10,20.94,32.32,75.63,183.55,72.69,37.74,76.51,2017-02-28,1,72.7363,,0.00%,,,,76.30
163208,诺安油气能源,NAYQNY,2022-04-12,0.9450,0.9450,1.72,1.50,6.06,21.78,32.17,57.50,104.10,9.88,36.96,-5.50,2011-09-27,1,54.8333,1.50%,0.15%,1,0.15%,1,2.72
160216,国泰大宗商品,GTDZSP,2022-04-12,0.4560,0.4560,3.64,2.01,3.87,30.66,31.03,72.08,105.41,-10.94,39.88,-54.40,2012-05-03,1,66.0377,1.50%,0.15%,1,0.15%,1,3.40
162411,华宝标普油气上游股票人民币A,HBBPYQSYGPRMBA,2022-04-12,0.6617,0.6617,1.64,0.70,11.10,25.73,30.49,74.18,202.56,21.64,42.73,-33.83,2011-09-29,1,71.3609,1.50%,0.15%,1,0.15%,1,3.39
007844,华宝标普油气上游股票人民币C,HBBPYQSYGPRMBC,2022-04-12,0.6555,0.6555,1.64,0.71,11.08,25.62,30.21,73.41,200,,42.56,65.70,2020-01-15,1,70.6084,,0.00%,,,,
165513,信诚全球商品主题,XCQQSPZT,2022-04-12,0.5810,0.5810,3.20,1.93,4.12,28.82,27.97,59.62,99.66,38,37.03,-41.90,2011-12-20,1,54.6703,1.60%,0.16%,1,0.16%,1,24.68
007937,华夏饲料豆粕期货ETF联接A,HXSLDPQHETFLJA,2022-04-13,1.4792,1.4792,0.23,1.29,-3.87,22.93,27.77,19.03,43.43,,24.37,47.92,2020-01-13,1,17.4929,0.60%,0.06%,1,0.06%,1,
519212,万家宏观择时多策略混合,WJHGZSDCLHH,2022-04-13,1.7526,1.7526,3.84,1.79,14.09,29.59,27.10,25.99,37.91,32.86,35.93,75.26,2017-03-30,1,21.7012,1.50%,0.15%,1,0.15%,1,73.18
519185,万家精选混合,WJJXHH,2022-04-13,1.3963,2.6426,3.71,1.43,12.51,24.49,24.28,19.40,33.94,17.33,30.29,225.83,2009-05-18,1,15.7017,1.50%,0.15%,1,0.15%,1,28.34
